class_index,class_name,precision,recall,f1,support
0,Cherry,0.6666666666666666,0.5,0.5714285714285714,4
1,Coffee-plant,1.0,1.0,1.0,3
2,Cucumber,1.0,0.5,0.6666666666666666,4
3,Fox_nut(Makhana),0.75,1.0,0.8571428571428571,3
4,Lemon,0.75,1.0,0.8571428571428571,3
5,Olive-tree,1.0,0.3333333333333333,0.5,3
6,Pearl_millet(bajra),0.8,1.0,0.8888888888888888,4
7,Tobacco-plant,0.6666666666666666,0.5,0.5714285714285714,4
8,almond,1.0,0.3333333333333333,0.5,3
9,banana,1.0,1.0,1.0,4
10,cardamom,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
11,chilli,1.0,0.6666666666666666,0.8,3
12,clove,0.4,0.6666666666666666,0.5,3
13,coconut,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
14,cotton,0.6,0.75,0.6666666666666666,4
15,gram,0.5,1.0,0.6666666666666666,3
16,jowar,0.5,1.0,0.6666666666666666,3
17,jute,1.0,0.6666666666666666,0.8,3
18,maize,1.0,0.25,0.4,4
19,mustard-oil,1.0,1.0,1.0,3
20,papaya,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
21,pineapple,1.0,1.0,1.0,3
22,rice,0.5,0.6666666666666666,0.5714285714285714,3
23,soyabean,0.75,1.0,0.8571428571428571,3
24,sugarcane,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
25,sunflower,0.75,1.0,0.8571428571428571,3
26,tea,1.0,0.6666666666666666,0.8,3
27,tomato,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
28,vigna-radiati(Mung),0.3333333333333333,0.3333333333333333,0.3333333333333333,3
29,wheat,1.0,0.75,0.8571428571428571,4
