class_name,precision,recall,f1
Cherry,1.0,0.7142857142857143,0.8333333333333334
Coffee-plant,0.7777777777777778,1.0,0.875
Cucumber,1.0,1.0,1.0
Fox_nut(Makhana),1.0,1.0,1.0
Lemon,1.0,1.0,1.0
Olive-tree,0.5,0.6666666666666666,0.5714285714285714
Pearl_millet(bajra),0.75,1.0,0.8571428571428571
Tobacco-plant,0.5,0.6666666666666666,0.5714285714285714
almond,1.0,0.3333333333333333,0.5
banana,0.75,1.0,0.8571428571428571
cardamom,0.6666666666666666,0.6666666666666666,0.6666666666666666
chilli,1.0,0.6666666666666666,0.8
clove,0.5,1.0,0.6666666666666666
coconut,1.0,0.6666666666666666,0.8
cotton,0.7142857142857143,0.8333333333333334,0.7692307692307693
gram,0.8571428571428571,1.0,0.9230769230769231
jowar,0.6666666666666666,0.6666666666666666,0.6666666666666666
jute,1.0,0.6666666666666666,0.8
maize,1.0,0.5,0.6666666666666666
mustard-oil,1.0,1.0,1.0
papaya,0.75,1.0,0.8571428571428571
pineapple,1.0,1.0,1.0
rice,1.0,1.0,1.0
soyabean,0.6,1.0,0.75
sugarcane,0.5714285714285714,0.6666666666666666,0.6153846153846154
sunflower,1.0,1.0,1.0
tea,0.5,0.3333333333333333,0.4
tomato,1.0,0.6666666666666666,0.8
vigna-radiati(Mung),0.0,0.0,0.0
wheat,1.0,1.0,1.0
